Source,Vid,1st Freeze,1st Freeze Last Frame,2nd Freeze,2nd Freeze Last Frame,1st Freeze Duration,2nd Freeze Duration,frames between 1st and 2nd freeze,Duration Difference,,,,,Acceleration Per Frame,Expected Duration 1st,Decay Rate/Frame at end of 1st Freeze,Solve for initial velocity to get 2nd freeze duration,Diff between beginning and end,diff per frame,per second?,what happens if velocity recovers at 2x normal decay rate,,,,,,
Nass,1u1u.mp4,172,380,404,549,208,145,24,-63,,,-30.1%,,-0.0006944444444,208.9988864,-0.3118047822,-0.294480364,0.01732441825,0.000722,0.04331104562,0.001388888889,0.000667,0.001187,,Gauge formula,,d_f(t) = -1.25 * (t/60) ^ 2 - 10 * (t/60) + d_f_initial
Nass,1u1u.mp4,735,945,988,1144,210,156,43,-54,,,-25.8%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2663461538,0.04545862839,0.001057,0.06343064426,0.001388888889,0.000332,4.274373982,,Duration formula,,t = 24 * (sqrt(5) * sqrt(d_f_initial + 20) - 10 )
Nass,1u1u.mp4,1422,1627,1666,1821,205,155,39,-50,,,-23.9%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2687612007,0.04304358151,0.001104,0.06622089464,0.001388888889,0.000285,,,Decay rate at time t,,d_(t) = -1.25 * 2 * (1/(60*60)) * t - 1/6
Nass,1u1u.mp4,2092,2297,2351,2517,205,166,54,-39,,,-18.7%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2435659304,0.06823885184,0.001264,0.07582094649,0.001388888889,0.000125,,"this one might be off, 2nd freeze was during spin so it doesn't look clean?",,,
Nass,1u1u.mp4,2699,2903,2957,3120,204,163,54,-41,,,-19.6%,,-0.0006944444444,208.9988864,-0.3118047822,-0.250151244,0.0616535382,0.001142,0.06850393133,0.001388888889,0.000247,,,,,
Nass,1u1u.mp4,3404,3613,3676,3844,209,168,63,-41,,,-19.6%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2392857143,0.07251906795,0.001151,0.069065779,0.001388888889,0.000238,,,,,
Nass,1u1u.mp4,4155,4361,4436,4616,206,180,75,-26,,,-12.4%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2152777778,0.09652700445,0.001287,0.07722160356,0.001388888889,0.000102,,,,,
Nass,1u1u.mp4,4882,5091,5173,5357,209,184,82,-25,,,-12.0%,,-0.0006944444444,208.9988864,-0.3118047822,-0.2078502415,0.1039545407,0.001268,0.07606429806,0.001388888889,0.000121,,,,,
Nass,1u1u.mp4,5611,5820,5931,6135,209,204,111,-5,,,-2.4%,,-0.0006944444444,208.9988864,-0.3118047822,-0.1742647059,0.1375400763,0.001239,0.07434598722,0.001388888889,0.000150,,no sight on first freeze,,,
Nass,1u1u.mp4,6381,6589,6692,6899,208,207,103,-1,,,-0.5%,,-0.0006944444444,208.9988864,-0.3118047822,-0.1696708937,0.1421338885,0.001380,0.08279643991,0.001388888889,0.000009,,,,,
