https://youtu.be/aKUP0EGkJjg,,,,,,,,,,,,,
"Testing 2U refreeze penalty. Expected refreeze to last 8.2% longer than observed. However, above 90% accuracy may be good enough.",,,,,,,,,,,,,
m,s,f,time,status,d_cryo,d_hydro,d_freeze,t_frozen,t_unfrozen,t_decay,expected,observed,error
0,5,12,00:05.200,frozen,15.79,20,,,,,,,
0,7,20,00:07.333,frozen,"unknown, between 15.79 and 20",,36,2.13,,2.13,2.02,2.03,
0,9,22,00:09.367,unfrozen,because up to 2s decay,,,2.03,,,,,
0,9,26,00:09.433,frozen,so d_freeze between 31.6 and 40,,36,,0.07,4.03,1.63,1.63,
0,11,4,00:11.067,unfrozen,,,,1.63,,,,,
0,11,26,00:11.433,frozen,,,32,,0.37,4.93,1.33,1.33,
0,12,46,00:12.767,unfrozen,,,,1.33,,,,,
0,13,25,00:13.417,frozen,,,35,,0.65,4.97,1.44,1.45,
0,14,52,00:14.867,unfrozen,,,,1.45,,,,,
0,15,25,00:15.417,frozen,,,37,,0.55,5.32,1.47,1.47,
0,16,53,00:16.883,unfrozen,,,,1.47,,,,,
0,17,25,00:17.417,frozen,,,32,,0.53,5.72,1.24,1.25,
0,18,40,00:18.667,unfrozen,,,,1.25,,,,,
0,19,41,00:19.683,wet,,40,,,,,,,
0,21,12,00:21.200,frozen,50,34.94,69.89,,2.53,1.90,3.62,3.35,8.20%
0,24,33,00:24.550,unfrozen,,,,3.35,,,,,
