https://youtu.be/UNgESz13Dxc,,,,,,,,,,,
"Using a macro to test frozen duration consistency. Results were inconsistent for very similar situations, sometimes producing both positive and negative error. Thus finding a more accurate formula does not seem likely.",,,,,,,,,,,
time,status,d cryo,d hydro,d freeze,t frozen,t unfrozen,t decay,expected,observed,error,note
00:11.233,cryo,20.00,,,,,,,,,
00:12.083,frozen,18.21,,36.42,,,0.000,2.718,2.733,-0.55%,
00:14.250,wet,,20.00,,,,,,,,
00:14.817,unfrozen,,,,2.733,,,,,,
00:15.033,frozen,,18.35,36.70,,0.217,2.300,2.010,2.050,-1.97%,"never unfroze, error may be larger than this"
00:16.250,wet,,20.00,,,,,,,,
00:17.083,frozen,,18.25,36.49,2.050,,4.350,1.596,1.633,-2.31%,
00:18.250,wet,,20.00,,,,,,,,
00:18.717,unfrozen,,,,1.633,,,,,,
00:19.133,frozen,,18.14,36.28,,0.417,5.150,1.468,1.483,-1.02%,
00:20.250,wet,,20.00,,,,,,,,
00:20.617,unfrozen,,,,1.483,,,,,,
00:21.133,frozen,,18.14,36.28,,0.517,5.600,1.408,1.483,-5.05%,
00:22.250,wet,,20.00,,,,,,,,
00:22.617,unfrozen,,,,1.483,,,,,,
00:23.167,frozen,,18.07,36.14,,0.550,5.983,1.356,1.350,0.44%,
00:24.250,wet,,20.00,,,,,,,,
00:24.517,unfrozen,,,,1.350,,,,,,
00:25.167,frozen,,18.07,36.14,,0.650,6.033,1.350,1.333,1.25%,
00:26.500,unfrozen,,,,1.333,,,,,,
00:37.200,cryo,20.00,,,,,,,,,
00:38.067,frozen,18.18,,36.35,,11.567,0,2.714216392,2.817,-3.64%,
00:40.217,wet,,20.00,,,,,,,,
00:40.883,unfrozen,,,,2.817,,,,,,
00:41.050,frozen,,18.25,36.49,,0.167,2.483,1.956,1.950,0.32%,
00:42.217,wet,,20.00,,,,,,,,
00:43.000,unfrozen,,,,1.950,,,,,,
00:43.067,frozen,,18.21,36.42,,0.067,4.300,1.601,1.617,-0.98%,
00:44.217,wet,,20.00,,,,,,,,
00:44.683,unfrozen,,,,1.617,,,,,,
00:45.067,frozen,,18.21,36.42,,0.383,5.150,1.474,1.417,4.01%,
00:46.217,wet,,20.00,,,,,,,,
00:46.483,unfrozen,,,,1.417,,,,,,
00:47.083,frozen,,18.18,36.35,,0.600,5.367,1.441,1.400,2.96%,
00:48.217,wet,,20.00,,,,,,,,
00:48.483,unfrozen,,,,1.400,,,,,,
00:49.100,frozen,,18.14,36.28,,0.617,5.533,1.417,1.383,2.43%,
00:50.217,wet,,20.00,,,,,,,,
00:50.483,unfrozen,,,,1.383,,,,,,
00:51.117,frozen,,18.11,36.21,,0.633,5.650,1.399,1.350,3.66%,
00:52.467,unfrozen,,,,1.350,,,,,,
01:04.167,cryo,20.00,,,,,,,,,
01:05.017,frozen,18.21,,36.42,,12.550,0,2.718395798,2.717,0.06%,
01:07.150,wet,,20.00,,,,,,,,
01:07.733,unfrozen,,,,2.717,,,,,,
01:08.033,frozen,,18.14,36.28,,0.300,2.117,2.034,1.983,,"never unfroze, so no positive error can be assessed"
01:09.167,wet,,20.00,,,,,,,,
01:10.017,frozen,,18.21,36.42,1.983,,4.100,1.634,1.617,1.06%,
01:11.167,wet,,20.00,,,,,,,,
01:11.633,unfrozen,,,,1.617,,,,,,
01:12.033,frozen,,18.18,36.35,,0.400,4.917,1.504,1.500,0.26%,
01:13.167,wet,,20.00,,,,,,,,
01:13.533,unfrozen,,,,1.500,,,,,,
01:14.033,frozen,,18.18,36.35,,0.500,5.417,1.435,1.400,2.49%,
01:15.167,wet,,20.00,,,,,,,,
01:15.433,unfrozen,,,,1.400,,,,,,
01:16.050,frozen,,18.14,36.28,,0.617,5.583,1.411,1.400,0.75%,
01:17.150,wet,,20.00,,,,,,,,
01:17.450,unfrozen,,,,1.400,,,,,,
