,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tests,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,decay rate,,,,Element Durability per Gauge unit,,FPS freeze extension test,,,,,,,Data for Plot,,,,,,,
,,,1A,,,,9.50,,,,25.00,,30,,,,,,,,,,,,,,
,,,2B,,,,6.00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1A,,,,2B,,,
,Freeze start [s:frame],[s],attack GU,,Remaining hydro GU,,unfreeze [s:frame],[s],Time since last freeze [s],,time unfrozen [s],Time since first freeze [s],t_decay [s],expected initial freeze duration [e_d],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],Note,,t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],t_decay [s],expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s]
,Video,,https://youtu.be/RyFiu694jb4,,,,,,,,,,,,,,,,,1.47,2.89,3.33,1.47,1.13,5.18,5.96,5.00
,Enemy 1,,,,,,,,,,,,,,expected freeze duration [s],expected freeze duration C1 [s],Actual freeze duration [s],,,3.00,2.43,2.80,3.00,1.73,4.89,5.62,4.27
,4.28,4.93,1A,,,,8.16,8.53,0,,,0.00,0.00,50,3.48,4.01,3.60,,,2.17,2.67,3.07,2.17,2.57,4.53,5.21,3.97
,10.17,10.57,1A,,,,,,5.63,,2.03,5.63,0.00,50,3.48,4.01,1.43,,,2.43,2.59,2.98,2.43,4.00,4.00,4.60,4.00
,12.00,12.00,1A,,,,,,1.43,,,7.07,0.00,50,3.48,4.01,,,,0.43,3.29,3.78,2.43,,,,
,Enemy 2,,,,,,,,,,,,,,,,,,,3.53,2.30,2.65,3.53,,,,
,4.28,4.93,1A,,,,,,,,,0.00,5.63,50,1.89,2.17,5.63,,,0.73,3.17,3.64,2.53,,,,
,10.17,10.57,1A,,,,,,5.63,,,5.63,1.47,50,2.89,3.33,1.47,,,1.00,3.06,3.52,2.33,,,,
