hydro durablity,cryo durability,durability_frozen,f_trigger_frozen,f_unfrozen,unfrozen_coefficient,f_trigger_frozen_equivalent,f_unfrozen_equivalent,frozen_duration,frozen_duration_delta,prev_frozen_duration,prev_unfrozen_duration,total_prev_frozen_duration,total_prev_unfrozen_duration,effective_total_prev_frozen_duration,t_decay,decay_acceleration,base_decay_velocity,initial_decay_velocity,p,q,frozen_duration_expected,error,absolute error,mae,squared error,root mse,highest single absolute error
?,25,"2*min(hydro, cryo)",evidence where elemental sight would show frozen +1 frame later,,2,"basically move trigger frozen/unfrozen events to an earlier point if t_decay/purge_rate is 0 ""prev_f_unfrozen + min(prev_unfrozen_duration, effective_total_prev_frozen_duration / unfrozen_coefficient)""","""f_trigger_frozen_equivalent + frozen_duration""",f_unfrozen - f_trigger_frozen,frozen_duration - first_frozen_duration,,f_trigger_frozen - previous_f_unfrozen,sum(prev_frozen_duration),sum(prev_unfrozen_duration),total_prev_frozen_duration - unfrozen_coefficient * total_prev_unfrozen_duration,effective_total_prev_frozen_duration / fps,-2.5,-10,base_decay_velocity + t_decay * decay_acceleration ,initial_decay_velocity / (1/2*decay_acceleration),durability_frozen / (1/2*decay_acceleration),fps * (-p/2 + sqrt(p²/4 - q)),frozen_duration - frozen_duration_expected,,,,,
50,25,50,140,350,2,0,210,210,0,,,0,0,0,0.00,-2.5,-10,-10.00,8.00,-40.00,209.00,1.00,1.00,41.46,1.00,51.92,99.84
50,25,50,418,595,,278,455,177,-33,210,68,210,68,74,1.23,,,-13.08,10.47,-40.00,178.54,-1.54,1.54,,2.37,,
50,25,50,652,807,,512,667,155,-55,177,57,387,125,137,2.28,,,-15.71,12.57,-40.00,157.91,-2.91,2.91,,8.47,,
50,25,50,851,990,,711,850,139,-71,155,44,542,169,204,3.40,,,-18.50,14.80,-40.00,140.07,-1.07,1.07,,1.14,,
50,25,50,1063,1198,,923,1058,135,-75,139,73,681,242,197,3.28,,,-18.21,14.57,-40.00,141.77,-6.77,6.77,,45.77,,
50,25,50,1244,1371,,1104,1231,127,-83,135,46,816,288,240,4.00,,,-20.00,16.00,-40.00,131.88,-4.88,4.88,,23.84,,
50,25,50,1413,1532,,1273,1392,119,-91,127,42,943,330,283,4.72,,,-21.79,17.43,-40.00,123.16,-4.16,4.16,,17.35,,
50,25,50,1571,1681,,1431,1541,110,-100,119,39,1062,369,324,5.40,,,-23.50,18.80,-40.00,115.78,-5.78,5.78,,33.37,,
50,25,50,1720,1826,,1580,1686,106,-104,110,39,1172,408,356,5.93,,,-24.83,19.87,-40.00,110.55,-4.55,4.55,,20.72,,
